module	model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	Intercept	8.479511402069177	0.9492408182807263	4.1483417486489073e-19	6.619033585583623	10.33998921855473	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	C(interval_lag)[T.2013-2015]	0.17160061239248373	0.10369546673302184	0.09795459751436322	-0.03163876776431038	0.3748399925492778	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	C(interval_lag)[T.2015-2018]	0.23858344156501043	0.11741288274803448	0.04215325603244139	0.008458420057838617	0.4687084630721823	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	oop_shock_p95_lag	-0.5234744069682532	0.32685159236525996	0.10925160785836362	-1.1640917562937296	0.11714294235722322	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	log_oop_raw_lag	0.14655183210848366	0.02088253374246844	2.2520460322107156e-12	0.10562281806730309	0.18748084614966423	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	adl5_lag	1.0437380945303745	0.07941790449566144	1.8828087008864215e-39	0.8880818619912364	1.1993943270695127	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	core_disease_count_lag	0.6956315162656813	0.06275545051702171	1.486850057416294e-28	0.5726330934187333	0.8186299391126294	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	baseline_age	-0.056251481789031416	0.01262747134981105	8.40141439046116e-06	-0.08100087085047246	-0.03150209272759037	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	sex	1.2890110988993957	0.16201025123706606	1.7718132476762062e-15	0.9714768413484605	1.606545356450331	11285	4199
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	education_c	-0.33114311092585363	0.04470972766247398	1.296650290166324e-13	-0.4187725669028968	-0.24351365494881044	11285	4199
