dataset	model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	Intercept	-1.7934164700151962	0.38998080298363097	4.250739831946213e-06	-2.5577647985251235	-1.029068141505269	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	C(interval)[T.2013-2015]	-0.12008853018685925	0.06641408254158652	0.07057869081830435	-0.2502577400346392	0.010080679660920716	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	C(interval)[T.2015-2018]	-0.47702650107888384	0.07089217734544105	1.709483489852339e-11	-0.6159726154615747	-0.338080386696193	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	oop_shock_p95_lag	-0.0864860352335915	0.16854925037246413	0.6078672000232193	-0.4168364955848455	0.2438644251176625	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	low_wealth	-0.013697814620824042	0.06141199264154423	0.8234982439994369	-0.13406310841708954	0.10666747917544146	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	oop_shock_p95_lag:low_wealth	-0.18717246031397428	0.22485763387378171	0.40518077826414856	-0.6278853243554801	0.25354040372753156	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	log_oop_raw_lag	0.036383491649783446	0.01265729069949295	0.004046566806343528	0.011575657736923477	0.061191325562643416	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	doctor_visit_any_lag	0.5554941905016028	0.10063385923441227	3.39090014693416e-08	0.35825545077688115	0.7527329302263244	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	adl5_lag	0.059960144198684485	0.027702330448509803	0.03043028652193072	0.00566457423177795	0.11425571416559102	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	core_disease_count_lag	0.19043203420187887	0.022754614534978023	5.813818252510137e-17	0.14583380923123032	0.23503025917252743	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	baseline_age	-0.005145068739684976	0.005261358657609585	0.3281250911344721	-0.015457142218347767	0.005167004738977816	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	sex	0.1410343430502102	0.06096947465949763	0.020711867068103202	0.021536368561267366	0.26053231753915307	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	education_c	0.0206963994857309	0.01819708961397418	0.2553933871497649	-0.014969240781106365	0.05636203975256816	8319	2946
balanced_ft	doc_any_logit_cluster	doctor_visit_any_wave	residence_rural_w1	0.20470284351241633	0.06462466712931988	0.0015372126177784818	0.07804082342605986	0.3313648635987728	8319	2946
balanced_ft	doc_count_pois_gee	doctor_visit_count_wave	Intercept	-1.1998535175989948	0.4505434326848801	0.00774186295841577	-2.082902419132406	-0.3168046160655835	8213	2939
balanced_ft	doc_count_pois_gee	doctor_visit_count_wave	C(interval)[T.2013-2015]	-0.12513225489397595	0.07304950640247042	0.08671644218054057	-0.2683066565312461	0.018042146743294157	8213	2939
