wave	year	variable	quantile	threshold	n_nonmissing
1	2011	total_annual_oop_raw	0.75	120.0	4953
1	2011	total_annual_oop_raw	0.9	3000.0	4953
1	2011	total_annual_oop_raw	0.95	6600.0	4953
1	2011	total_annual_oop_raw	0.975	12679.999999999927	4953
2	2013	total_annual_oop_raw	0.75	569.8005698005699	5144
2	2013	total_annual_oop_raw	0.9	4786.324786324787	5144
2	2013	total_annual_oop_raw	0.95	11396.011396011396	5144
2	2013	total_annual_oop_raw	0.975	22792.02279202279	5144
3	2015	total_annual_oop_raw	0.75	662.9834254143647	5180
3	2015	total_annual_oop_raw	0.9	5524.861878453039	5180
3	2015	total_annual_oop_raw	0.95	13699.379655757242	5180
3	2015	total_annual_oop_raw	0.975	27624.30939226519	5180
4	2018	total_annual_oop_raw	0.75	1033.5917312661497	4793
4	2018	total_annual_oop_raw	0.9	6156.210298234298	4793
4	2018	total_annual_oop_raw	0.95	14711.455641688137	4793
4	2018	total_annual_oop_raw	0.975	25943.152454780266	4793
